SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
GALLANTT,2026-07-23,537.75,562.3,948.0,561.45,-4.22,-43.28,-4.37,-21.61,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45,C46",22
CONTROLPR,2026-07-23,573.7,656.8,917.5,634.0,-9.51,-37.47,-12.65,-11.5,"C1,C2,C3,C11,C13,C16,C24,C30,C31,C32,C36",11
BANG,2026-07-23,27.23,28.55,64.01,28.43,-4.22,-57.46,-4.62,-7.0,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26",10
INTLCONV,2026-07-23,73.68,76.62,114.54,76.42,-3.59,-35.67,-3.84,-4.47,"C1,C2,C3,C4,C5,C6,C7,C8",8
KOHINOOR,2026-07-23,22.56,23.52,45.45,23.3,-3.18,-50.36,-4.08,-6.55,"C1,C2,C3,C4,C5,C6,C8",7
AAVAS,2026-07-23,1385.9,1444.0,2234.0,1425.0,-2.74,-37.96,-4.02,-7.66,"C2,C3,C5,C6,C7",5
DCAL,2026-07-23,179.24,186.18,321.95,184.06,-2.62,-44.33,-3.73,-7.66,"C2,C3,C5,C6,C7",5
EUREKAFORB,2026-07-23,433.65,447.7,668.3,446.05,-2.78,-35.11,-3.14,-7.5,"C2,C3,C5,C6,C7",5
HCC,2026-07-23,21.44,22.06,41.49,22.01,-2.59,-48.32,-2.81,-6.58,"C2,C3,C5,C6,C7",5
JARO,2026-07-23,463.1,476.5,890.0,474.2,-2.34,-47.97,-2.81,-6.92,"C2,C3,C5,C6,C7",5
MEDIASSIST,2026-07-23,338.25,348.15,629.6,346.6,-2.41,-46.28,-2.84,-5.36,"C2,C3,C5,C6,C7",5
NATHBIOGEN,2026-07-23,154.65,161.8,238.69,158.0,-2.12,-35.21,-4.42,-2.72,"C2,C3,C5,C6,C7",5
NAVA,2026-07-23,555.55,571.15,1014.9,568.0,-2.19,-45.26,-2.73,-5.95,"C2,C3,C5,C6,C7",5
PATELENG,2026-07-23,28.05,29.05,53.7,28.85,-2.77,-47.77,-3.44,-7.4,"C2,C3,C5,C6,C7",5
TEJASNET,2026-07-23,497.3,520.55,1220.0,516.35,-3.69,-59.24,-4.47,-9.14,"C1,C2,C4,C5,C8",5
TVTODAY,2026-07-23,115.84,119.15,226.99,118.74,-2.44,-48.97,-2.78,-7.08,"C2,C3,C5,C6,C7",5
ZUARI,2026-07-23,220.7,227.24,393.55,226.2,-2.43,-43.92,-2.88,-6.01,"C2,C3,C5,C6,C7",5
ICRA,2026-07-23,4774.5,5127.5,7130.0,5080.0,-6.01,-33.04,-6.88,-8.73,"C1,C4,C8,C26",4
MTNL,2026-07-23,26.75,27.69,58.2,27.31,-2.05,-54.04,-3.39,-6.99,"C2,C3,C5,C6",4
ORCHPHARMA,2026-07-23,962.5,1001.0,1997.4,987.7,-2.55,-51.81,-3.85,-10.79,"C2,C3,C5,C6",4
PCJEWELLER,2026-07-23,9.35,9.87,19.65,9.62,-2.81,-52.42,-5.27,-9.4,"C2,C3,C5,C6",4
WAAREERTL,2026-07-23,943.4,1019.2,1358.0,987.6,-4.48,-30.53,-7.44,-5.96,"C1,C4,C8,C26",4
ALLTIME,2026-07-23,223.86,231.43,334.9,230.8,-3.01,-33.16,-3.27,-8.78,"C1,C4,C8",3
BANCOINDIA,2026-07-23,608.05,635.2,879.8,632.0,-3.79,-30.89,-4.27,-8.04,"C1,C4,C8",3
DBL,2026-07-23,386.8,400.45,585.0,399.0,-3.06,-33.88,-3.41,-5.28,"C1,C4,C8",3
GRANDOAK,2026-07-23,38.09,39.44,55.76,39.3,-3.08,-31.69,-3.42,-9.55,"C1,C4,C8",3
JPOLYINVST,2026-07-23,1017.3,1062.3,1487.7,1050.1,-3.12,-31.62,-4.24,-6.74,"C1,C4,C8",3
KIRLPNU,2026-07-23,1517.6,1598.7,2197.1,1574.1,-3.59,-30.93,-5.07,-12.8,"C1,C4,C8",3
CELLO,2026-07-23,340.25,349.15,782.0,347.55,-2.1,-56.49,-2.55,-8.19,"C2,C5",2
