SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CONFIGS_MATCHED,CONFIG_COUNT
GRADIENTE,2026-06-05,2.92,3.07,5.11,3.07,-4.89,-42.86,-4.89,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
EXICOM,2026-06-05,133.85,144.98,275.71,142.89,-6.33,-51.45,-7.68,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26",12
5PAISA,2026-06-05,311.6,320.6,487.7,318.0,-2.01,-36.11,-2.81,"C2,C3,C5,C6,C7",5
GICL,2026-06-05,25.16,26.93,43.93,25.76,-2.33,-42.73,-6.57,"C2,C3,C5,C6,C7",5
MEDICAMEQ,2026-06-05,245.65,255.7,560.7,253.9,-3.25,-56.19,-3.93,"C1,C2,C4,C5,C8",5
SOLEX,2026-06-05,1109.9,1153.6,1985.0,1133.3,-2.06,-44.09,-3.79,"C2,C3,C5,C6,C7",5
THOMASCOTT,2026-06-05,253.5,262.75,459.8,260.2,-2.57,-44.87,-3.52,"C2,C3,C5,C6,C7",5
TIRUMALCHM,2026-06-05,174.14,178.8,341.0,178.1,-2.22,-48.93,-2.61,"C2,C3,C5,C6,C7",5
TOTAL,2026-06-05,50.11,52.48,93.5,51.6,-2.89,-46.41,-4.52,"C2,C3,C5,C6,C7",5
DSSL,2026-06-05,1288.7,1356.5,1924.8,1356.5,-5.0,-33.05,-5.0,"C1,C4,C8,C26",4
NEXTMEDIA,2026-06-05,3.8,3.9,8.48,3.88,-2.06,-55.19,-2.56,"C2,C5",2
TRU,2026-06-05,5.32,5.5,13.24,5.43,-2.03,-59.82,-3.27,"C2,C5",2
